Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,NORM_Abundance R1 127C Sample,NORM_Abundance R2 127C Sample,NORM_Abundance R3 127C Sample,NORM_Abundance R1 127N Sample,NORM_Abundance R2 127N Sample,NORM_Abundance R3 127N Sample,NORM_Abundance R1 128C Sample,NORM_Abundance R2 128C Sample,NORM_Abundance R3 128C Sample,NORM_Abundance R1 128N Sample,NORM_Abundance R2 128N Sample,NORM_Abundance R3 128N Sample,NORM_Abundance R1 129C Sample,NORM_Abundance R2 129C Sample,NORM_Abundance R3 129C Sample,NORM_Abundance R1 129N Sample,NORM_Abundance R2 129N Sample,NORM_Abundance R3 129N Sample,NORM_Abundance R1 130C Sample,NORM_Abundance R2 130C Sample,NORM_Abundance R3 130C Sample,NORM_Abundance R1 130N Sample,NORM_Abundance R2 130N Sample,NORM_Abundance R3 130N Sample,NORM_Abundance R1 126 control,NORM_Abundance R2 126 control,NORM_Abundance R3 126 control
XP_016885226.1,1160.9,0.0,106.9,1288.4,0.0,94.7,681.1,0.0,68.8,1171.1,0.0,95.0,986.9,0.0,106.4,1542.9,0.0,72.3,734.7,0.0,93.4,776.0,0.0,74.9,470.3,0.0,82.6,968.8444444444444,106.45925925925924,0.0,1239.5074074074075,110.84444444444445,0.0,938.0666666666666,115.08148148148148,0.0,1089.5037037037039,110.84444444444445,0.0,848.2185185185184,124.70370370370368,0.0,1505.9222222222222,93.93333333333334,0.0,703.3888888888889,130.55185185185186,0.0,863.9851851851853,110.27777777777777,0.0,1061.9074074074072,0.0,114.25185185185184
NP_055454.1,311.2,0.0,360.6,298.7,0.0,411.0,212.7,0.0,356.8,316.2,0.0,430.6,352.8,0.0,590.8,411.1,0.0,564.6,230.1,0.0,429.6,302.3,0.0,469.0,214.3,0.0,403.7,303.47407407407405,465.2814814814814,0.0,297.25555555555553,400.72592592592594,0.0,337.57407407407413,533.6814814814816,0.0,291.4962962962963,419.237037037037,0.0,274.074074074074,469.6333333333333,0.0,392.637037037037,539.0407407407406,0.0,321.2333333333333,506.5037037037037,0.0,340.48148148148147,518.1851851851851,0.0,289.3074074074074,0.0,345.5444444444444
NP_115679.2,228.5,490.2,938.3,223.7,463.3,910.6,231.2,437.0,593.5,294.4,508.2,1053.8,260.4,603.7,855.2,342.7,616.9,1127.6,257.8,495.6,788.5,236.4,471.1,873.5,190.5,511.8,673.0,325.6592592592592,762.9370370370369,550.7037037037038,218.58148148148146,838.3962962962964,360.9814814814815,259.8777777777778,762.9370370370369,514.6592592592593,272.5148148148148,956.4444444444442,386.2777777777777,302.17407407407404,824.8777777777776,512.1333333333336,333.2222222222222,1002.2481481481482,472.2444444444444,280.1370370370371,841.3481481481481,660.0259259259258,273.3185185185185,939.2148148148149,449.0148148148149,215.85555555555558,366.50740740740736,841.3481481481481
NP_003155.2,557.9,0.0,539.6,519.7,0.0,491.0,348.4,0.0,369.7,545.8,0.0,453.4,504.3,0.0,477.9,488.4,0.0,321.4,451.7,0.0,350.4,546.6,0.0,285.9,412.5,0.0,307.0,492.95185185185176,482.9222222222222,0.0,489.8518518518518,472.2444444444444,0.0,478.97037037037046,444.0777777777778,0.0,502.80370370370366,439.6629629629629,0.0,516.8555555555555,401.72222222222223,0.0,467.1703703703704,324.67407407407404,0.0,612.0925925925927,402.8555555555556,0.0,600.3222222222222,336.20740740740735,0.0,504.56666666666666,0.0,508.40740740740733
NP_005611.1,5267.6,6163.3,2722.5,5398.0,6701.7,3092.8,2136.5,3205.1,1714.2,5380.1,6405.6,2797.2,3719.8,5011.8,2552.2,2733.2,5079.6,1808.3,3426.1,3963.0,2178.2,3558.5,4735.5,1986.8,2155.0,3419.6,1881.1,3444.574074074074,2108.8555555555554,4438.774074074073,5633.9740740740735,2666.3222222222216,5334.418518518518,4065.4074074074065,2159.5037037037036,4438.774074074073,5316.403703703703,2370.5333333333333,4911.799999999999,4426.388888888889,2162.659259259259,4284.914814814815,2705.6666666666665,1541.5111111111112,3912.9925925925927,3437.7333333333336,2147.466666666667,4707.292592592591,4426.388888888889,2024.7185185185185,4717.988888888888,5105.925925925925,4645.896296296296,2275.9111111111106
XP_016858330.1,591.5,1048.3,0.0,546.7,995.1,0.0,339.3,645.5,0.0,539.1,1100.2,0.0,428.1,824.3,0.0,424.7,930.9,0.0,440.8,902.6,0.0,455.8,854.5,0.0,296.2,735.0,0.0,483.7629629629629,0.0,828.9,514.6592592592593,0.0,833.1999999999999,410.04814814814813,0.0,709.1,492.95185185185176,0.0,885.5925925925926,504.56666666666666,0.0,976.7518518518518,400.72592592592594,0.0,720.9814814814816,441.3888888888889,0.0,1003.5074074074074,509.4555555555555,0.0,838.3962962962964,535.4518518518518,857.3592592592591,0.0
XP_011533514.1,0.0,641.4,259.9,0.0,590.5,274.5,0.0,428.9,169.3,0.0,633.5,251.8,0.0,651.6,255.7,0.0,598.2,233.0,0.0,560.4,218.4,0.0,530.5,211.8,0.0,479.5,182.8,0.0,229.5333333333334,537.7777777777778,0.0,277.11481481481474,492.20370370370364,0.0,244.69629629629634,558.0333333333333,0.0,259.22222222222223,506.5037037037037,0.0,250.84074074074076,590.2148148148148,0.0,246.22962962962958,456.93333333333334,0.0,253.24074074074073,616.8444444444445,0.0,260.8111111111111,512.1333333333336,0.0,504.56666666666666,250.84074074074076
XP_016869748.1,1814.4,1384.4,612.2,1884.4,1471.0,574.8,1032.9,971.0,458.8,1597.9,1388.7,542.0,1450.2,1321.7,598.4,1537.3,1951.9,504.4,1045.9,1022.2,482.9,962.0,1151.0,380.6,662.5,845.0,387.8,1578.2851851851856,596.6592592592593,1328.6111111111109,1860.4962962962964,548.4999999999999,1279.6407407407405,1475.8148148148148,541.0962962962963,1200.0925925925924,1492.3814814814816,512.1333333333336,1148.4407407407407,1254.4740740740742,530.9296296296296,1094.5703703703703,1494.2592592592594,474.2703703703704,1569.0666666666666,964.8333333333336,492.20370370370364,1132.7703703703705,1107.148148148148,432.44814814814816,1154.2259259259258,1690.9,1132.7703703703705,566.3888888888889
NP_001034679.2,373.2,65.4,395.6,342.3,64.4,448.4,313.0,75.9,378.1,362.1,73.9,473.4,425.9,103.1,637.2,364.6,67.8,487.1,353.8,103.8,566.1,354.8,98.8,650.0,348.4,106.6,596.0,440.5703703703704,498.2888888888888,58.75555555555556,333.9851851851852,435.01851851851853,29.92592592592592,406.45925925925934,581.8740740740742,53.87407407407407,334.70740740740735,460.3148148148149,35.13333333333333,409.1,615.5037037037036,73.83333333333333,353.1518518518519,455.02962962962965,30.496296296296297,518.1851851851851,754.2481481481483,108.41851851851852,401.72222222222223,722.3888888888888,69.59629629629629,349.7444444444445,23.99259259259259,374.0370370370371
NP_001013455.1,339.7,0.0,995.1,330.6,0.0,972.7,244.4,0.0,678.2,355.0,0.0,907.5,341.1,0.0,1058.4,326.1,0.0,937.5,255.5,0.0,764.8,275.0,0.0,677.3,218.3,0.0,727.8,341.4740740740741,858.7777777777779,0.0,320.6592592592593,894.9296296296294,0.0,325.6592592592592,917.4592592592594,0.0,326.2148148148148,835.6222222222225,0.0,298.01851851851853,805.8814814814813,0.0,314.23703703703694,862.3074074074073,0.0,327.0666666666667,906.6592592592591,0.0,307.8185185185186,750.5185185185185,0.0,317.26666666666654,0.0,873.677777777778
