Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,NORM_Abundance R1 127C Sample,NORM_Abundance R2 127C Sample,NORM_Abundance R3 127C Sample,NORM_Abundance R1 127N Sample,NORM_Abundance R2 127N Sample,NORM_Abundance R3 127N Sample,NORM_Abundance R1 128C Sample,NORM_Abundance R2 128C Sample,NORM_Abundance R3 128C Sample,NORM_Abundance R1 128N Sample,NORM_Abundance R2 128N Sample,NORM_Abundance R3 128N Sample,NORM_Abundance R1 129C Sample,NORM_Abundance R2 129C Sample,NORM_Abundance R3 129C Sample,NORM_Abundance R1 129N Sample,NORM_Abundance R2 129N Sample,NORM_Abundance R3 129N Sample,NORM_Abundance R1 130C Sample,NORM_Abundance R2 130C Sample,NORM_Abundance R3 130C Sample,NORM_Abundance R1 130N Sample,NORM_Abundance R2 130N Sample,NORM_Abundance R3 130N Sample,NORM_Abundance R1 126 control,NORM_Abundance R2 126 control,NORM_Abundance R3 126 control
XP_005251033.1,74054.7,124349.4,57905.7,67453.5,113976.1,54892.9,41878.7,72004.0,39250.7,78459.0,131329.0,61290.1,67285.8,115226.1,61010.8,79749.2,145103.4,66227.6,58250.4,97293.9,52230.8,58241.0,102773.1,51282.0,42025.2,73980.7,42993.2,67286.18148148149,42553.46666666666,80178.53333333333,67286.18148148149,42553.46666666666,80178.53333333333,80178.53333333333,80178.53333333333,80178.53333333333,67286.18148148149,45535.12962962963,80178.53333333333,80178.53333333333,67286.18148148149,80178.53333333333,80178.53333333333,45535.12962962963,80178.53333333333,67286.18148148149,80178.53333333333,80178.53333333333,80178.53333333333,67286.18148148149,80178.53333333333,67286.18148148149,80178.53333333333,42553.46666666666
XP_016873759.1,25771.4,22486.2,42002.5,24332.9,21067.5,37934.7,15718.3,14167.7,28127.6,24418.8,21835.2,39450.1,20761.3,18153.7,35638.3,23772.4,20307.8,34908.9,18364.0,16798.0,33300.1,15954.8,14435.7,24525.7,12763.0,11624.8,23813.4,28940.625925925917,33501.38148148148,19181.925925925923,27689.58518518519,27689.58518518519,17101.57777777778,24930.096296296288,29886.981481481474,16147.933333333338,24930.096296296288,29886.981481481474,16532.951851851853,26870.75925925926,29886.981481481474,17256.36296296296,25408.53333333333,28294.937037037038,15933.725925925924,22922.925925925923,27689.58518518519,15265.0037037037,20449.588888888884,24420.281481481485,14060.351851851852,27689.58518518519,17256.36296296296,31653.840740740736
NP_001104026.1,32481.8,42074.6,48838.3,31264.1,39870.3,45191.5,22106.3,28072.4,32174.6,33688.6,43499.4,46530.0,31620.3,40721.9,46773.6,45705.4,57595.2,64404.2,27448.6,35747.3,42213.5,24198.6,30764.6,33317.0,17074.4,21740.1,25631.2,42553.46666666666,35611.351851851854,42553.46666666666,32645.711111111115,35611.351851851854,35611.351851851854,42553.46666666666,37619.15555555555,37619.15555555555,31653.840740740736,35611.351851851854,34653.944444444445,37619.15555555555,37619.15555555555,37619.15555555555,45535.12962962963,42553.46666666666,45535.12962962963,34653.944444444445,31653.840740740736,30714.83333333334,35611.351851851854,32645.711111111115,31653.840740740736,30714.83333333334,35611.351851851854,35611.351851851854
NP_006280.3,19352.6,24082.6,25566.0,18193.2,23118.1,25173.6,12457.9,17340.7,20406.0,20672.8,25912.9,27516.3,19863.4,27546.4,30793.3,21110.2,28411.0,30793.7,16225.0,22416.3,25328.2,18889.1,25562.6,26745.3,13744.2,20070.5,24909.1,23429.033333333333,25408.53333333333,23946.47407407408,20945.029629629626,20150.44074074074,18347.951851851853,23429.033333333333,26095.059259259262,24930.096296296288,21558.581481481484,20751.60740740741,19842.577777777773,20945.029629629626,24420.281481481485,23946.47407407408,23429.033333333333,24420.281481481485,21249.037037037036,25408.53333333333,28940.625925925917,27689.58518518519,26095.059259259262,26095.059259259262,24930.096296296288,20751.60740740741,17819.333333333332,19181.925925925923
NP_003371.2,84439.1,110019.1,75159.6,75966.0,98001.9,65937.9,47818.9,60445.9,42664.1,78924.3,103808.0,76800.7,63406.0,81213.9,57509.5,76716.7,100744.7,67732.1,50837.3,65992.7,50608.6,49388.8,66611.3,47914.6,42527.0,54166.8,38337.0,80178.53333333333,80178.53333333333,67286.18148148149,80178.53333333333,67286.18148148149,67286.18148148149,67286.18148148149,42553.46666666666,67286.18148148149,80178.53333333333,67286.18148148149,67286.18148148149,67286.18148148149,45535.12962962963,67286.18148148149,67286.18148148149,67286.18148148149,67286.18148148149,80178.53333333333,50870.399999999994,67286.18148148149,67286.18148148149,45535.12962962963,67286.18148148149,80178.53333333333,67286.18148148149,67286.18148148149
NP_733821.1,56570.4,66445.9,54005.2,52302.1,62699.7,50799.0,32198.3,38208.2,33367.3,52502.7,68047.3,55194.3,42372.0,51353.0,44996.3,53349.2,70963.0,57735.1,35907.8,44257.7,38114.9,34658.2,44355.8,35273.2,27377.0,32440.1,30410.7,50870.399999999994,37619.15555555555,50870.399999999994,50870.399999999994,39220.477777777785,50870.399999999994,50870.399999999994,34653.944444444445,50870.399999999994,50870.399999999994,39220.477777777785,50870.399999999994,50870.399999999994,33501.38148148148,45535.12962962963,50870.399999999994,39220.477777777785,50870.399999999994,50870.399999999994,35611.351851851854,50870.399999999994,50870.399999999994,34653.944444444445,45535.12962962963,50870.399999999994,50870.399999999994,37619.15555555555
NP_005091.2,11595.0,33603.8,14992.3,10290.7,30566.1,14268.7,6238.1,16728.7,8023.4,11015.1,33196.3,14327.0,8885.1,24931.2,11888.1,15187.5,43930.8,20495.1,16958.8,45215.4,21455.3,16283.4,46921.1,21657.0,11917.9,29221.7,14595.0,10429.929629629629,10069.044444444446,22430.366666666672,10880.533333333333,12278.437037037034,23946.47407407408,10069.044444444446,10169.025925925924,22922.925925925923,11084.277777777777,11898.42962962963,24930.096296296288,22430.366666666672,21977.929629629627,50870.399999999994,15265.0037037037,16366.08148148148,35611.351851851854,20751.60740740741,17101.57777777778,42553.46666666666,20751.60740740741,21558.581481481484,50870.399999999994,11312.0,25408.53333333333,12736.129629629631
NP_006608.1,39044.2,32999.6,21444.2,35084.1,31848.4,20728.0,19284.2,19396.5,14526.3,36987.7,33676.9,20717.9,29911.0,27619.0,20337.3,36512.1,35428.2,22382.4,26169.8,24274.0,18125.2,28882.0,27529.9,18450.5,21839.5,21645.1,18273.1,35611.351851851854,18933.022222222222,28294.937037037038,42553.46666666666,16532.951851851853,26095.059259259262,37619.15555555555,17819.333333333332,25408.53333333333,42553.46666666666,16366.08148148148,25408.53333333333,35611.351851851854,17458.574074074073,25408.53333333333,42553.46666666666,17819.333333333332,28940.625925925917,42553.46666666666,20945.029629629626,29886.981481481474,42553.46666666666,17819.333333333332,26870.75925925926,42553.46666666666,24420.281481481485,16532.951851851853
NP_006588.1,32383.6,54593.5,65676.1,30377.5,49172.1,59524.1,19612.3,31493.8,41204.4,32720.6,55504.1,67534.6,28791.5,46223.9,60344.8,28981.9,56659.5,71184.8,28380.2,43736.3,57084.9,26705.3,44345.9,54471.8,19283.1,30250.1,40810.4,37619.15555555555,67286.18148148149,45535.12962962963,31653.840740740736,45535.12962962963,42553.46666666666,32645.711111111115,67286.18148148149,45535.12962962963,29886.981481481474,50870.399999999994,45535.12962962963,39220.477777777785,80178.53333333333,42553.46666666666,31653.840740740736,80178.53333333333,42553.46666666666,37619.15555555555,67286.18148148149,45535.12962962963,37619.15555555555,80178.53333333333,42553.46666666666,29886.981481481474,42553.46666666666,45535.12962962963
NP_008835.5,11414.0,19681.0,10169.1,11549.2,19889.7,10528.4,10957.3,18174.7,11998.4,12807.2,22368.7,11691.9,19224.8,31914.1,21189.3,15390.3,30081.1,14304.3,11477.1,19000.3,13571.4,12967.5,23396.0,14203.7,11752.0,19237.1,14075.8,19842.577777777773,15116.114814814813,26095.059259259262,11898.42962962963,9097.14814814815,16366.08148148148,22430.366666666672,18568.188888888883,31653.840740740736,12436.966666666667,9932.2037037037,17101.57777777778,14948.144444444448,13248.2037037037,20150.44074074074,15562.296296296292,11312.0,22922.925925925923,20150.44074074074,16683.95185185185,25408.53333333333,16883.55925925926,14401.688888888886,23429.033333333333,11234.433333333334,15116.114814814813,8274.34074074074
NP_001352542.1,37062.5,51670.0,26381.0,30229.9,43439.1,23080.1,13591.5,20366.8,12355.8,33185.4,47192.3,23172.0,20821.3,31354.8,17887.7,27936.1,42007.4,21109.8,21325.0,31446.0,17520.1,23802.7,36206.4,18163.7,15962.2,25356.1,15251.8,26095.059259259262,15394.77037037037,30714.83333333334,30714.83333333334,18568.188888888883,37619.15555555555,25408.53333333333,15265.0037037037,30714.83333333334,30714.83333333334,18790.91851851852,37619.15555555555,30714.83333333334,16883.55925925926,31653.840740740736,30714.83333333334,17101.57777777778,34653.944444444445,31653.840740740736,18126.84074074074,39220.477777777785,33501.38148148148,17607.374074074076,39220.477777777785,35611.351851851854,37619.15555555555,19842.577777777773
NP_002464.1,19427.3,25402.4,22284.2,18006.9,23741.6,20898.2,11798.1,15371.9,16056.8,18953.9,26016.7,22605.4,17417.6,22669.0,22470.5,20315.9,28743.7,24522.8,14633.9,20409.0,20264.4,13692.9,19239.6,17655.7,10748.6,14191.3,15703.4,22430.366666666672,20449.588888888884,21558.581481481484,19842.577777777773,16683.95185185185,19181.925925925923,21249.037037037036,19549.337037037032,20751.60740740741,19842.577777777773,17819.333333333332,20150.44074074074,18933.022222222222,18933.022222222222,20751.60740740741,22430.366666666672,19181.925925925923,22430.366666666672,18347.951851851853,18347.951851851853,19181.925925925923,17458.574074074073,17256.36296296296,18790.91851851852,20945.029629629626,19549.337037037032,17256.36296296296
XP_006720633.1,16791.8,18958.2,22244.8,17048.4,19550.3,21019.6,13461.3,15120.2,16835.4,18537.3,21105.2,21064.5,20723.8,24030.7,26205.1,22989.7,27398.3,26764.1,17891.0,20677.8,22794.1,19475.0,22736.7,21950.9,15179.2,17181.7,20117.1,25408.53333333333,21249.037037037036,20751.60740740741,18790.91851851852,16883.55925925926,16147.933333333338,24420.281481481485,22430.366666666672,21977.929629629627,18568.188888888883,16683.95185185185,15933.725925925924,23946.47407407408,23429.033333333333,21558.581481481484,24930.096296296288,19842.577777777773,20150.44074074074,29886.981481481474,22922.925925925923,22922.925925925923,27689.58518518519,22430.366666666672,22430.366666666672,17458.574074074073,14164.681481481482,17101.57777777778
NP_001017963.2,13310.9,17617.5,17971.2,12191.6,15937.3,16905.1,7839.3,10792.9,12818.4,12644.6,17387.0,18401.0,11471.8,15297.9,18231.6,12829.7,17410.5,22162.5,9981.6,13709.0,16219.2,9067.2,13086.4,14426.8,7104.2,9894.8,13243.3,12969.140740740742,16532.951851851853,14291.640740740742,12353.837037037038,14571.251851851852,12860.803703703705,13039.214814814817,15394.77037037037,13755.992592592595,12353.837037037038,15265.0037037037,13039.214814814817,12736.129629629631,15265.0037037037,14060.351851851852,13337.844444444441,17607.374074074076,13895.762962962963,11794.437037037036,15394.77037037037,13248.2037037037,11553.196296296295,14948.144444444448,12736.129629629631,12651.851851851852,13151.840740740741,14824.999999999998
NP_001258898.1,21943.7,35543.7,36182.3,20568.1,32030.0,33843.0,12932.5,19959.7,23820.0,22177.2,36078.5,38389.6,19586.8,29230.3,34946.2,18950.9,30537.4,33671.8,19289.0,28650.7,36616.8,17890.2,28775.4,31704.8,13142.2,19430.1,26245.9,24420.281481481485,28940.625925925917,28940.625925925917,22922.925925925923,26095.059259259262,26870.75925925926,22922.925925925923,28294.937037037038,28294.937037037038,23429.033333333333,26870.75925925926,26095.059259259262,28294.937037037038,32645.711111111115,28940.625925925917,21558.581481481484,26870.75925925926,23429.033333333333,23429.033333333333,32645.711111111115,26095.059259259262,22922.925925925923,30714.83333333334,27689.58518518519,22430.366666666672,27689.58518518519,26095.059259259262
NP_005338.1,37286.4,38669.3,34448.9,34076.4,35732.2,32098.6,21355.9,22358.9,21709.6,36502.7,36792.7,32021.5,30236.0,31310.0,30072.0,31680.7,34089.0,31547.7,31275.5,31945.7,30511.7,29368.5,30395.5,27017.0,22862.8,23739.3,25265.0,39220.477777777785,26095.059259259262,31653.840740740736,37619.15555555555,25408.53333333333,30714.83333333334,39220.477777777785,25408.53333333333,29886.981481481474,39220.477777777785,23946.47407407408,27689.58518518519,42553.46666666666,27689.58518518519,33501.38148148148,35611.351851851854,25408.53333333333,27689.58518518519,45535.12962962963,30714.83333333334,34653.944444444445,45535.12962962963,26870.75925925926,30714.83333333334,37619.15555555555,31653.840740740736,25408.53333333333
NP_001186883.1,0.0,377.8,334.8,0.0,357.9,316.9,0.0,286.6,263.3,0.0,316.3,261.5,0.0,358.9,325.0,0.0,524.8,374.1,0.0,279.8,281.5,0.0,291.9,233.5,0.0,237.1,246.8,0.0,353.92962962962963,338.3185185185186,0.0,322.037037037037,284.2851851851851,0.0,300.18518518518516,278.64074074074074,0.0,265.4777777777778,224.36666666666667,0.0,320.1518518518518,270.23333333333335,0.0,371.5555555555556,386.2777777777777,0.0,331.49999999999994,293.425925925926,0.0,281.4111111111111,256.3296296296296,0.0,284.2851851851851,324.67407407407404
NP_001419.1,33984.0,41833.5,54340.1,29931.6,38649.3,50070.7,22230.2,27935.3,39632.5,36284.1,43744.8,54326.7,33880.7,42240.0,58214.0,31489.7,40916.6,52972.6,31306.0,37486.1,50818.6,27648.6,34218.6,44784.9,20419.9,25148.9,36594.1,45535.12962962963,45535.12962962963,39220.477777777785,29886.981481481474,37619.15555555555,34653.944444444445,45535.12962962963,45535.12962962963,42553.46666666666,35611.351851851854,37619.15555555555,35611.351851851854,45535.12962962963,50870.399999999994,39220.477777777785,34653.944444444445,34653.944444444445,32645.711111111115,39220.477777777785,45535.12962962963,37619.15555555555,39220.477777777785,42553.46666666666,37619.15555555555,31653.840740740736,34653.944444444445,39220.477777777785
NP_001092.1,25013.5,35942.2,42616.3,25162.8,37244.6,45046.8,18758.2,25184.4,33603.9,26883.5,40190.6,46383.6,28243.8,39367.2,52388.8,33957.9,47599.5,53349.9,24886.0,34879.1,46440.8,22597.4,32991.8,40940.5,16289.1,20734.4,30436.5,33501.38148148148,39220.477777777785,35611.351851851854,28294.937037037038,34653.944444444445,31653.840740740736,31653.840740740736,39220.477777777785,34653.944444444445,26095.059259259262,34653.944444444445,32645.711111111115,34653.944444444445,39220.477777777785,35611.351851851854,39220.477777777785,35611.351851851854,39220.477777777785,33501.38148148148,37619.15555555555,28940.625925925917,30714.83333333334,39220.477777777785,35611.351851851854,24930.096296296288,28940.625925925917,32645.711111111115
NP_001157789.1,11838.9,12516.0,10331.7,11414.6,11251.8,10196.6,9402.1,7322.1,7984.5,12421.4,12581.7,11349.9,13149.7,11274.7,11150.7,18836.3,15527.5,16405.3,12776.9,10553.5,10566.8,9924.9,8893.2,8931.6,6976.5,5487.3,6258.0,15933.725925925924,9876.874074074074,9876.874074074074,11701.985185185184,8555.07037037037,9097.14814814815,15265.0037037037,9564.87037037037,9983.492592592593,12098.75925925926,9648.607407407408,9475.925925925925,17101.57777777778,10629.074074074077,10945.31111111111,20751.60740740741,13519.388888888887,12353.837037037038,11385.781481481483,7064.477777777779,7366.840740740739,12511.692592592595,8740.355555555556,8981.303703703705,11617.407407407407,9384.155555555555,8439.825925925927
NP_003118.2,14067.4,22437.8,15435.1,12482.5,19471.8,13776.1,8107.4,12342.8,10094.1,12386.8,20310.7,13935.0,11113.5,16902.3,13264.6,10949.9,19383.5,13034.8,9198.6,13521.3,11341.6,9994.7,16852.3,11944.8,9471.5,13440.6,12543.0,13755.992592592595,12564.418518518518,16366.08148148148,12651.851851851852,11794.437037037036,15933.725925925924,12511.692592592595,11234.433333333334,14948.144444444448,12017.033333333335,11794.437037037036,15265.0037037037,12098.75925925926,11160.611111111111,13895.762962962963,11015.837037037036,10069.044444444446,15116.114814814813,16366.08148148148,14948.144444444448,18126.84074074074,12564.418518518518,12736.129629629631,16883.55925925926,13628.903703703703,17101.57777777778,13039.214814814817
XP_005264575.1,13844.7,23159.2,11513.9,12502.6,21544.9,10567.8,8045.0,12707.0,8314.0,13734.2,22951.9,10967.8,12292.1,19219.3,10816.3,12163.7,22847.9,10639.9,10317.9,15777.4,9046.2,11330.1,18550.6,9654.3,9449.3,15110.8,10000.2,13337.844444444441,10367.64444444444,16883.55925925926,12736.129629629631,9177.214814814815,17458.574074074073,14401.688888888886,8981.303703703705,17256.36296296296,13442.214814814817,9384.155555555555,17458.574074074073,13337.844444444441,8555.07037037037,15933.725925925924,12436.966666666667,8603.903703703703,17458.574074074073,16147.933333333338,11474.474074074076,19842.577777777773,14571.251851851852,9475.925925925925,18126.84074074074,13442.214814814817,17607.374074074076,9648.607407407408
XP_011522177.1,9375.8,14853.9,18275.9,9102.2,14231.8,16970.0,5916.6,9334.1,13268.1,9655.0,15309.1,18643.8,8929.8,13879.0,19230.2,8442.7,14187.0,15674.6,5837.8,9441.7,13574.7,6419.2,10388.4,13008.8,5561.1,8358.1,12850.5,9932.2037037037,17101.57777777778,12651.851851851852,9796.65925925926,14824.999999999998,11312.0,10119.192592592593,16683.95185185185,12353.837037037038,9831.225925925928,15394.77037037037,11474.474074074076,7747.551851851852,13337.844444444441,9983.492592592593,8677.47777777778,12860.803703703705,10750.25925925926,9097.14814814815,15116.114814814813,11312.0,8350.714814814817,13442.214814814817,10209.6,9509.92962962963,11084.277777777777,15116.114814814813
NP_004125.3,13575.7,24619.8,19518.9,11702.2,22840.0,17984.4,7678.7,15241.7,12907.3,12926.3,23611.9,18979.0,11561.6,23230.3,18705.8,12683.9,28475.0,18664.4,9781.4,18597.6,16023.2,10836.1,21763.8,16788.7,7404.6,16460.6,13852.7,12651.851851851852,16683.95185185185,21249.037037037036,12017.033333333335,15562.296296296292,18126.84074074074,13248.2037037037,15933.725925925924,20945.029629629626,12564.418518518518,15789.392592592592,17819.333333333332,12564.418518518518,15116.114814814813,18933.022222222222,13248.2037037037,14824.999999999998,21977.929629629627,12511.692592592595,16532.951851851853,21249.037037037036,13628.903703703703,16147.933333333338,20945.029629629626,13039.214814814817,18568.188888888883,15933.725925925924
NP_000282.1,14446.5,29622.8,33127.1,13593.7,28370.7,31594.6,11312.1,20063.7,23619.7,15106.4,30449.6,34012.2,17241.8,29842.1,35202.1,18749.5,31284.0,32735.3,15202.9,26891.9,32793.6,16475.2,29688.1,33512.8,14904.6,24709.5,30603.3,21249.037037037036,28294.937037037038,29886.981481481474,14060.351851851852,24930.096296296288,22430.366666666672,20945.029629629626,28940.625925925917,28940.625925925917,15265.0037037037,25408.53333333333,21977.929629629627,19842.577777777773,28294.937037037038,27689.58518518519,20449.588888888884,26095.059259259262,23946.47407407408,28940.625925925917,39220.477777777785,35611.351851851854,21977.929629629627,33501.38148148148,28940.625925925917,14291.640740740742,22430.366666666672,24930.096296296288
XP_011532005.1,15970.2,7458.7,17164.5,15619.6,7458.7,16917.2,9314.3,4534.0,10041.2,15484.3,7445.8,16161.7,12864.5,6240.5,14782.2,14343.9,6761.9,16544.9,10709.4,5089.7,11377.7,10904.5,5368.6,11600.5,9195.6,4626.1,10492.5,15789.392592592592,12511.692592592595,6074.414814814815,17101.57777777778,14685.507407407407,6136.559259259258,15116.114814814813,12564.418518518518,5496.5148148148155,15933.725925925924,14060.351851851852,5745.437037037039,13895.762962962963,11312.0,5387.585185185186,14571.251851851852,13755.992592592595,5273.429629629628,15789.392592592592,12200.029629629627,6303.6407407407405,13755.992592592595,12017.033333333335,5387.585185185186,16147.933333333338,5701.940740740742,14060.351851851852
NP_004095.4,7384.0,5818.4,9925.7,7838.2,5792.7,10344.6,7646.8,5278.8,9083.6,8575.6,6471.6,10770.4,12235.0,9025.2,15611.6,10066.2,7386.1,10624.5,7362.8,5251.0,9703.2,7747.6,5635.7,9242.9,6068.6,4088.9,7520.8,12564.418518518518,11553.196296296295,7203.155555555556,8405.751851851852,8769.948148148149,4717.988888888888,13895.762962962963,12969.140740740742,8029.751851851852,8677.47777777778,8915.22222222222,4953.385185185186,9435.633333333335,9354.951851851853,5595.396296296297,10209.6,8555.07037037037,5745.437037037039,10022.781481481481,8707.425925925925,5595.396296296297,9796.65925925926,9177.214814814815,5681.281481481481,7515.414814814814,4438.774074074073,8172.422222222223
NP_002147.2,11753.4,19421.8,30224.4,10276.0,17338.2,27908.7,6218.6,9871.0,17563.1,10741.5,18510.2,27891.5,8869.5,14262.0,24749.7,9377.0,15707.2,27722.1,7770.9,12503.4,20658.4,7504.2,13224.9,20693.6,5990.5,9674.4,18626.3,10367.64444444444,22430.366666666672,13337.844444444441,10823.492592592595,21558.581481481484,13755.992592592595,9932.2037037037,20945.029629629626,12860.803703703705,10880.533333333333,21249.037037037036,13755.992592592595,10251.448148148149,19842.577777777773,12511.692592592595,9742.618518518517,21249.037037037036,12564.418518518518,9831.225925925928,21977.929629629627,12651.851851851852,9384.155555555555,20945.029629629626,12860.803703703705,11385.781481481483,14824.999999999998,22430.366666666672
NP_005959.2,37888.5,53641.5,32903.4,33247.9,46260.1,29559.7,18817.6,25015.7,18001.6,36305.1,49844.5,31614.4,29245.4,39862.3,27626.7,31876.6,44992.4,29543.1,23170.1,30686.5,21617.1,23362.5,32125.6,21665.9,16172.1,20522.6,16548.5,34653.944444444445,23946.47407407408,34653.944444444445,33501.38148148148,23946.47407407408,39220.477777777785,33501.38148148148,24420.281481481485,35611.351851851854,37619.15555555555,23429.033333333333,39220.477777777785,31653.840740740736,22922.925925925923,30714.83333333334,37619.15555555555,22430.366666666672,37619.15555555555,32645.711111111115,19181.925925925923,28294.937037037038,32645.711111111115,21977.929629629627,33501.38148148148,39220.477777777785,39220.477777777785,24420.281481481485
NP_005372.2,36893.8,59083.1,94069.6,33716.5,53315.7,86268.8,16381.7,25766.5,40061.5,34343.4,54384.6,85835.0,24298.8,38021.4,58544.2,26659.6,41372.4,67377.0,20238.2,32315.4,49247.7,20359.4,32819.2,48386.9,13922.7,22352.4,34669.6,31653.840740740736,50870.399999999994,37619.15555555555,34653.944444444445,80178.53333333333,45535.12962962963,30714.83333333334,50870.399999999994,33501.38148148148,33501.38148148148,80178.53333333333,42553.46666666666,29886.981481481474,42553.46666666666,34653.944444444445,28940.625925925917,50870.399999999994,33501.38148148148,26870.75925925926,42553.46666666666,32645.711111111115,29886.981481481474,50870.399999999994,34653.944444444445,34653.944444444445,45535.12962962963,80178.53333333333
NP_001353228.1,15603.0,21075.9,14243.2,15402.7,20408.9,14596.5,10756.6,13463.3,10115.0,16455.1,22306.3,15018.3,16676.4,21603.2,16284.8,17280.0,23171.3,16083.8,12536.8,16096.2,12311.2,13135.8,17517.2,12452.4,10164.3,12866.4,10585.9,18790.91851851852,12651.851851851852,17819.333333333332,16532.951851851853,12651.851851851852,16883.55925925926,20449.588888888884,13519.388888888887,19549.337037037032,17256.36296296296,12651.851851851852,16883.55925925926,16683.95185185185,12564.418518518518,16532.951851851853,18126.84074074074,13248.2037037037,17819.333333333332,16883.55925925926,12353.837037037038,17819.333333333332,17256.36296296296,13151.840740740741,17458.574074074073,15394.77037037037,16147.933333333338,11794.437037037036
NP_001952.1,22975.9,27011.1,27835.1,21780.6,26213.8,27096.2,17501.5,22419.7,23260.7,23691.5,31047.9,33869.8,29508.5,36664.4,38721.6,31108.5,38613.6,37006.7,23876.9,31518.6,35431.8,23140.6,31088.8,32412.7,18002.5,22663.5,23127.9,32645.711111111115,27689.58518518519,32645.711111111115,23946.47407407408,20751.60740740741,21249.037037037036,34653.944444444445,30714.83333333334,32645.711111111115,24420.281481481485,24930.096296296288,22430.366666666672,32645.711111111115,31653.840740740736,32645.711111111115,33501.38148148148,28940.625925925917,30714.83333333334,35611.351851851854,26870.75925925926,33501.38148148148,31653.840740740736,31653.840740740736,32645.711111111115,23946.47407407408,20945.029629629626,20449.588888888884
NP_000691.1,15424.9,24814.1,25572.5,14690.1,23682.3,24540.6,10115.8,14755.7,18109.6,14040.8,24849.7,23268.5,13487.5,20515.4,24853.8,15469.5,24395.6,27106.9,11710.4,17720.5,20840.4,10501.9,16839.5,18153.0,8572.6,12107.2,16278.8,17256.36296296296,24420.281481481485,20150.44074074074,15394.77037037037,19842.577777777773,18933.022222222222,15394.77037037037,21249.037037037036,18568.188888888883,13895.762962962963,18933.022222222222,19181.925925925923,15562.296296296292,20150.44074074074,18126.84074074074,15789.392592592592,20751.60740740741,18568.188888888883,14401.688888888886,18568.188888888883,16532.951851851853,13442.214814814817,17458.574074074073,16683.95185185185,15116.114814814813,19181.925925925923,19549.337037037032
NP_004437.2,7449.5,11221.5,14571.5,7717.1,11079.1,14453.0,5622.3,8691.7,12408.9,8224.1,11709.9,15472.4,8977.2,13673.0,19822.0,9439.1,14306.6,21551.6,7034.9,10462.9,14974.1,8278.1,11552.9,15649.0,5840.6,9025.8,13725.7,9435.633333333335,15562.296296296292,11794.437037037036,8274.34074074074,12436.966666666667,8860.355555555554,10169.025925925924,17256.36296296296,12017.033333333335,8475.962962962964,13039.214814814817,8915.22222222222,8950.381481481481,14571.251851851852,10823.492592592595,9831.225925925928,17256.36296296296,11015.837037037036,9509.92962962963,16147.933333333338,12200.029629629627,10692.192592592593,15562.296296296292,11474.474074074076,7629.770370370369,8555.07037037037,12436.966666666667
NP_003290.1,19129.0,24425.6,28641.3,18164.9,22082.0,27213.5,10692.5,12960.6,17509.4,18942.5,22697.8,28851.4,16044.3,19069.1,25758.8,17358.2,19311.2,27078.0,16303.5,18907.5,26214.2,18888.8,21266.2,27997.3,13245.4,15842.4,24172.5,18568.188888888883,21977.929629629627,17256.36296296296,20751.60740740741,20945.029629629626,17819.333333333332,19549.337037037032,21977.929629629627,16883.55925925926,19549.337037037032,21977.929629629627,17256.36296296296,21558.581481481484,25408.53333333333,19842.577777777773,18933.022222222222,20449.588888888884,14824.999999999998,23946.47407407408,28294.937037037038,20751.60740740741,25408.53333333333,27689.58518518519,20449.588888888884,20150.44074074074,18126.84074074074,21249.037037037036
NP_004915.2,15885.8,15639.4,16527.0,14859.2,14371.7,15396.7,10029.8,9730.1,11792.5,14598.1,15123.8,15977.1,14305.1,13461.7,15241.2,14370.4,15605.2,15129.0,12830.8,12436.9,14776.7,11467.1,11942.1,12597.6,9869.6,9764.3,12531.3,17101.57777777778,14401.688888888886,12969.140740740742,15933.725925925924,13895.762962962963,11474.474074074076,16147.933333333338,12736.129629629631,11701.985185185184,14685.507407407407,13895.762962962963,11385.781481481483,17256.36296296296,14291.640740740742,12436.966666666667,14685.507407407407,12098.75925925926,12436.966666666667,16683.95185185185,14824.999999999998,12736.129629629631,14824.999999999998,13248.2037037037,11794.437037037036,15789.392592592592,11794.437037037036,13755.992592592595
