gene,pvalue,log10pvalue,LOG2 foldchange of130N Sample
LYAR,0.835796023,0.0778997,-0.322911246
SERPINA3,0.347726912,0.458761697,0.889224246
XP_016859148.1,0.923423044,0.034599292,-0.16174658
MIX23,0.864316525,0.063327184,-0.186719326
ZMPSTE24,0.961003416,0.017275068,0.024996528
ETFB,0.788403609,0.103251396,0.269511057
PDE12,0.015526058,1.80893879,0.203149913
ACSL4,0.833717686,0.078980985,0.411668526
XP_016864078.1,0.969512853,0.013446429,-0.048300273
SYAP1,0.980407298,0.008593465,-0.012434732
NP_001002251.2,0.758885434,0.119823783,-0.264572003
CYCS,0.529346129,0.276260258,-0.437641305
PAK1,0.907991977,0.041917989,0.156529886
RANBP3,0.774818054,0.110800269,-0.341965565
NUP93,0.619325768,0.20808085,-0.18768795
AK3,0.938105434,0.027748349,0.118866179
IDH3B,0.955467715,0.019783983,0.064744198
IK,0.958534044,0.018392458,-0.077993473
FKBP8,0.849256003,0.070961375,0.146952471
XP_011514713.1,0.434840073,0.36167044,-1.904318441
SP1,0.943660569,0.025184192,0.050077282
SRSF3,0.872214245,0.059376825,-0.190300121
PAFAH1B3,0.752582104,0.123446113,-0.240039037
ERH,0.387354538,0.411891352,-0.347560092
XP_024307582.1,0.708241946,0.149818356,-0.190977387
NOC2L,0.405019501,0.392524065,0.218117162
XAB2,0.996067062,0.001711421,-0.005905518
UGDH,0.405506647,0.392002023,0.540028243
AIMP2,0.79993654,0.096944465,0.263654927
ITPR3,0.657625041,0.182021658,0.924492756
TSR1,0.955520836,0.019759838,0.049240481
MIA3,0.909350172,0.041268847,0.113810292
YME1L1,0.825882827,0.083081564,-0.241943888
EXOC7,0.956285565,0.0194124,-0.057366485
CAPZA2,0.946757089,0.023761434,0.089577141
COX5B,0.594394238,0.225925409,-0.240156955
SCCPDH,0.943471188,0.025271358,0.079283164
XP_006715894.1,0.953063173,0.020878311,-0.107054821
TXNL1,0.729183486,0.137163176,-0.31020868
CAT,0.989674514,0.004507613,0.01625215
AP1G1,0.794773122,0.099756828,0.242728827
TWF1,0.949492083,0.022508652,-0.12666481
HLA-DRA,0.004204889,2.376245435,-0.83489929
TIMP3,0.01052974,1.977582333,1.152125511
TFPI2,0.000365175,3.437498396,1.894246482
